ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
5090,Indah Manullang,Chemical Engineering,2020,Production Engineer,Schneider Electric,"Safety Management, Material Science, Process Simulation",Catalyst Optimization Study,"Six Sigma Green Belt, HSE Certificate",pufa_engineering,karir di bidang production engineer dengan latar belakang pendidikan chemical engineering dan aktif di pufa engineering
5091,Rizky Nugroho,International Relations,2015,NGO Program Officer,Unilever,"Foreign Languages, Cross-Cultural Communication, Geopolitics",Political Risk Assessment Report,"Project Management for Development (PMD Pro), Conflict Resolution & Mediation",pufa_social_science_and_education | moot_court,profesional international relations dengan spesialisasi foreign languages  cross cultural communication  geopolitics dan pengalaman proyek political risk assessment report
5092,Citra Permana,Financial Engineering,2015,Algorithmic Developer,PLN,"Machine Learning, Data Science, Financial Modeling",Option Pricing Model,Python for Finance,pufa_business,profesional financial engineering dengan spesialisasi machine learning  data science  financial modeling dan pengalaman proyek option pricing model
5093,Imam Anggraini,Management,2017,Operations Manager,Djarum,"Performance Management, Employee Relations, Change Management",Recruitment Strategy Optimization,Certified Associate in Project Management (CAPM),pumun,karir di bidang operations manager dengan latar belakang pendidikan management dan aktif di pumun
5094,Bayu Mahendra,Visual Communication Design,2020,Graphic Designer,Telkomsel,"Illustration, Typography, User Research",Marketing Visual Assets,Google UX Design,pufa_social_science_and_education | puma_visual_communication_design,profesional visual communication design dengan spesialisasi illustration  typography  user research dan pengalaman proyek marketing visual assets
5095,Joko Ramadhan,Financial Engineering,2023,Data Analyst (Finance),Deloitte,"C++, Stochastic Calculus, Financial Modeling",High-Frequency Trading Bot,FRM (Financial Risk Manager),purtc | aiesec | pumun,karir di bidang data analyst  finance  dengan latar belakang pendidikan financial engineering dan aktif di purtc   aiesec   pumun
5096,Citra Saputra,Marketing,2015,SEO Specialist,Djarum,"A/B Testing, SEO/SEM, Content Marketing",SEO Audit and Strategy,"Meta Certified Digital Marketing Associate, Google Ads",pudc | accounting_club | pumun,profesional marketing dengan spesialisasi a b testing  seo sem  content marketing dan pengalaman proyek seo audit and strategy
5097,Siti Rahman,Applied Mathematics,2015,Quantitative Researcher,Mayora,"Optimization, Python/R, Linear Algebra",Logistics Route Optimization,Data Science Professional Certificate,puma_applied_mathematics | pusc,alumni jurusan applied mathematics berkarir sebagai quantitative researcher di mayora  ahli dalam optimization  python r  linear algebra
5098,Galih Rahman,Industrial Engineering,2015,Quality Manager,Djarum,"System Modeling, Statistical Process Control, Simulation (Arena)",Value Stream Mapping,"Lean Six Sigma Green Belt, Ergonomics Assessment Specialist",pufa_engineering | pumun | accounting_club,karir di bidang quality manager dengan latar belakang pendidikan industrial engineering dan aktif di pufa engineering   pumun   accounting club
5099,Siti Utama,International Relations,2017,NGO Program Officer,Ogilvy Indonesia,"Negotiation, Public Policy, International Law",Humanitarian Aid Logistics,Project Management for Development (PMD Pro),puma_international_relations | pudc,karir di bidang ngo program officer dengan latar belakang pendidikan international relations dan aktif di puma international relations   pudc
5100,Imam Gunawan,Applied Mathematics,2021,Data Scientist,Tokopedia,"Linear Algebra, Python/R, Statistical Inference",Logistics Route Optimization,Data Science Professional Certificate,pufa_computer_science | pudc,seorang data scientist lulusan applied mathematics dengan pengalaman di tokopedia dan sertifikasi data science professional certificate
5101,Putri Sihombing,Accounting,2018,Internal Auditor,Bank Mandiri,"Cost Accounting, Financial Reporting, Data Analysis for Accounting",Budget Forecasting Model,"ACCA - Foundational Level, Certified Internal Auditor (CIA)",fpci | aiesec,alumni jurusan accounting berkarir sebagai internal auditor di bank mandiri  ahli dalam cost accounting  financial reporting  data analysis for accounting
5102,Rizky Wibowo,Actuarial Science,2021,Insurance Underwriter,Traveloka,"Probability Theory, R Programming, Data Analysis",Pension Liability Calculation,Professional Risk Manager (PRM),puma_actuarial_science | purtc,karir di bidang insurance underwriter dengan latar belakang pendidikan actuarial science dan aktif di puma actuarial science   purtc
5103,Eko Permana,Electrical Engineering,2019,Electrical Design Engineer,Schneider Electric,"SCADA, Circuit Design, PCB Design",Robotic Control System,Certified Automation Professional (CAP),pusc | aiesec | purtc,seorang electrical design engineer lulusan electrical engineering dengan pengalaman di schneider electric dan sertifikasi certified automation professional  cap
5104,Zara Pasaribu,Business Administration,2023,Operations Manager,Mayora,"Leadership, Financial Analysis, Process Optimization",Market Feasibility Study,"HubSpot Inbound Marketing, Salesforce Administrator",purtc,profesional business administration dengan spesialisasi leadership  financial analysis  process optimization dan pengalaman proyek market feasibility study
5105,Lina Hakim,Industrial Engineering,2021,Production Planner,Unilever,"Six Sigma, Simulation (Arena), Logistics",Workplace Ergonomics Audit,Certified Quality Engineer (CQE),pufa_engineering | debate_club | pusc,seorang production planner lulusan industrial engineering dengan pengalaman di unilever dan sertifikasi certified quality engineer  cqe
5106,Galih Anggraini,International Relations,2017,NGO Program Officer,Leo Burnett,"Public Policy, Foreign Languages, Negotiation",UN Model Simulation,"TOEFL/IELTS/Foreign Lang Cert, International Law and Diplomacy",pufa_social_science_and_education | aiesec | pusc,karir di bidang ngo program officer dengan latar belakang pendidikan international relations dan aktif di pufa social science and education   aiesec   pusc
5107,Tia Mahendra,International Relations,2023,Political Risk Consultant,Djarum,"Diplomacy, Cross-Cultural Communication, International Law",Political Risk Assessment Report,"Conflict Resolution & Mediation, Public Policy Analysis",accounting_club | debate_club,profesional international relations dengan spesialisasi diplomacy  cross cultural communication  international law dan pengalaman proyek political risk assessment report
5108,Kartika Wibowo,Financial Engineering,2018,Financial Modeler,Shopee,"Python, Stochastic Calculus, Data Science",Option Pricing Model,"Python for Finance, CQF (Quantitative Finance)",puma_financial_engineering,profesional financial engineering dengan spesialisasi python  stochastic calculus  data science dan pengalaman proyek option pricing model
5109,Rina Ramadhan,Environmental Engineering,2018,Enviromental Planner,Telkomsel,"HSE Standards, Water Treatment, Compliance",Water Treatment Plant Design,NEBOSH International Certificate,puma_environmental_engineering | pufa_engineering | fpci,alumni jurusan environmental engineering berkarir sebagai enviromental planner di telkomsel  ahli dalam hse standards  water treatment  compliance
5110,Indah Sihombing,International Relations,2020,Humanitarian Aid Worker,Telkomsel,"Negotiation, Cross-Cultural Communication, Diplomacy",Political Risk Assessment Report,"Public Policy Analysis, International Law and Diplomacy",pufa_social_science_and_education | accounting_club | pumun,seorang humanitarian aid worker lulusan international relations dengan pengalaman di telkomsel dan sertifikasi public policy analysis  international law and diplomacy
5111,Putri Manullang,Creative Media,2018,Digital Content Specialist,Mayora,"Cinematography, Adobe Premiere Pro, Storytelling",Corporate Documentary,Cinematography Fundamentals,pufa_social_science_and_education,karir di bidang digital content specialist dengan latar belakang pendidikan creative media dan aktif di pufa social science and education
5112,Dewi Manullang,Communication,2015,Social Media Strategist,Unilever,"Media Relations, Public Relations, Content Strategy",Rebranding Campaign,HubSpot Content Marketing,accounting_club | fpci | pumun,alumni jurusan communication berkarir sebagai social media strategist di unilever  ahli dalam media relations  public relations  content strategy
5113,Rina Nugroho,International Relations,2023,NGO Program Officer,Ogilvy Indonesia,"International Law, Public Policy, Negotiation",Trade Agreement Impact Analysis,TOEFL/IELTS/Foreign Lang Cert,pufa_social_science_and_education | pumun | moot_court,seorang ngo program officer lulusan international relations dengan pengalaman di ogilvy indonesia dan sertifikasi toefl ielts foreign lang cert
5114,Hani Pasaribu,Creative Media,2020,Scriptwriter,Traveloka,"Scriptwriting, Sound Design, Animation",Web Series Pilot,Avid Media Composer,puma_creative_media | fpci | pudc,seorang scriptwriter lulusan creative media dengan pengalaman di traveloka dan sertifikasi avid media composer
5115,Siti Firdaus,Chemical Engineering,2017,R&D Materials Scientist,Pertamina,"Process Simulation, Aspen HYSYS, Process Control",Biofuel Production Process,HSE Certificate,puma_chemical_engineering | debate_club,alumni jurusan chemical engineering berkarir sebagai r d materials scientist di pertamina  ahli dalam process simulation  aspen hysys  process control
5116,Fitri Manullang,Accounting,2016,Forensic Accountant,Deloitte,"Taxation, Financial Reporting, Risk Management",Budget Forecasting Model,"CPA (Certified Public Accountant), ACCA - Foundational Level",puma_accounting,profesional accounting dengan spesialisasi taxation  financial reporting  risk management dan pengalaman proyek budget forecasting model
5117,Cahya Mahendra,Primary School Teacher Education,2019,Special Education Teacher,Binus School,"Counseling, Educational Leadership, Pedagogy",Curriculum Development for Special Needs,"Educational Leadership Certificate, TEFL/TESOL",pufa_social_science_and_education,profesional primary school teacher education dengan spesialisasi counseling  educational leadership  pedagogy dan pengalaman proyek curriculum development for special needs
5118,Cahya Wibowo,Financial Engineering,2015,Quantitative Analyst,Djarum,"Python, Stochastic Calculus, Data Science",Option Pricing Model,"FMVA (Financial Modeling), FRM (Financial Risk Manager)",puma_financial_engineering | debate_club,karir di bidang quantitative analyst dengan latar belakang pendidikan financial engineering dan aktif di puma financial engineering   debate club
5119,Zara Wibowo,International Relations,2018,Political Risk Consultant,Mayora,"Diplomacy, Public Policy, Negotiation",Diplomatic Protocol Handbook,Conflict Resolution & Mediation,pufa_social_science_and_education | purtc,karir di bidang political risk consultant dengan latar belakang pendidikan international relations dan aktif di pufa social science and education   purtc
5120,Kartika Pasaribu,Management,2017,Compensation & Benefits Analyst,Telkomsel,"Strategic Planning, Talent Management, Payroll Administration",Performance Appraisal System Design,LinkedIn Recruiter Certification,puma_management,alumni jurusan management berkarir sebagai compensation   benefits analyst di telkomsel  ahli dalam strategic planning  talent management  payroll administration
5121,Fitri Mahendra,Applied Mathematics,2018,Statistical Consultant,Mayora,"Statistical Inference, Optimization, Modeling",Logistics Route Optimization,"Machine Learning (Stanford/Coursera), Data Science Professional Certificate",pufa_computer_science | debate_club | accounting_club,alumni jurusan applied mathematics berkarir sebagai statistical consultant di mayora  ahli dalam statistical inference  optimization  modeling
